text,lang,filename
Mercurey 1er Cru Les Saumonts,fr,AOC Mercurey 1er Cru Les Saumonts.mp3
Mercurey 1er Cru Les Vasées,fr,AOC Mercurey 1er Cru Les Vasées.mp3
Mercurey 1er Cru Les Velley,fr,AOC Mercurey 1er Cru Les Velley.mp3
Mercurey 1er Cru Sazenay,fr,AOC Mercurey 1er Cru Sazenay.mp3
Mercurey 1er Cru,fr,AOC Mercurey 1er Cru.mp3
Givry,fr,AOC Givry.mp3
Givry 1er Cru A Vigne Rouge,fr,AOC Givry 1er Cru A Vigne Rouge.mp3
Givry 1er Cru Clos Charlé,fr,AOC Givry 1er Cru Clos Charlé.mp3
Givry 1er Cru Clos de la Baraude,fr,AOC Givry 1er Cru Clos de la Baraude.mp3
Givry 1er Cru Clos du Cellier aux Moines,fr,AOC Givry 1er Cru Clos du Cellier aux Moines.mp3
Givry 1er Cru Clos du Cras long,fr,AOC Givry 1er Cru Clos du Cras long.mp3
Givry 1er Cru Clos du Vernoy,fr,AOC Givry 1er Cru Clos du Vernoy.mp3
Givry 1er Cru Clos Jus,fr,AOC Givry 1er Cru Clos Jus.mp3
Givry 1er Cru Clos Marceaux,fr,AOC Givry 1er Cru Clos Marceaux.mp3
Givry 1er Cru Clos Marole,fr,AOC Givry 1er Cru Clos Marole.mp3
Givry 1er Cru Clos Salomon,fr,AOC Givry 1er Cru Clos Salomon.mp3
Givry 1er Cru Clos-Saint-Paul,fr,AOC Givry 1er Cru Clos-Saint-Paul.mp3
Givry 1er Cru Clos-Saint-Pierre,fr,AOC Givry 1er Cru Clos-Saint-Pierre.mp3
Givry 1er Cru Crausot,fr,AOC Givry 1er Cru Crausot.mp3
Givry 1er Cru Crémillons,fr,AOC Givry 1er Cru Crémillons.mp3
Givry 1er Cru En Choué,fr,AOC Givry 1er Cru En Choué.mp3
Givry 1er Cru La Brûlée,fr,AOC Givry 1er Cru La Brûlée.mp3
Givry 1er Cru La Grande Berge,fr,AOC Givry 1er Cru La Grande Berge.mp3
Givry 1er Cru La Matrosse,fr,AOC Givry 1er Cru La Matrosse.mp3
Givry 1er Cru La Petite Berge,fr,AOC Givry 1er Cru La Petite Berge.mp3
Givry 1er Cru La Plante,fr,AOC Givry 1er Cru La Plante.mp3
Givry 1er Cru Le Champ Lalot,fr,AOC Givry 1er Cru Le Champ Lalot.mp3
Givry 1er Cru Le Médenchot,fr,AOC Givry 1er Cru Le Médenchot.mp3
